epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,293.354,0.52699,0.35737,0.93303,0.99113,0.98896,0.99346,0.91241,0.40444,0.24556,0.86873,0.000531038,0.000531038,0.000531038
23,306.433,0.50677,0.34414,0.9302,0.99443,0.99296,0.99211,0.90977,0.42215,0.24418,0.87048,0.00051304,0.00051304,0.00051304
24,319.565,0.50999,0.35179,0.93233,0.99074,0.99518,0.99288,0.90224,0.3963,0.24869,0.87855,0.000495041,0.000495041,0.000495041
25,332.719,0.50042,0.33697,0.92738,0.99297,0.99589,0.99247,0.89824,0.42542,0.23145,0.87969,0.000477043,0.000477043,0.000477043
26,345.931,0.4905,0.32823,0.92575,0.99278,0.99377,0.99242,0.90597,0.41321,0.23763,0.87026,0.000459045,0.000459045,0.000459045
27,358.875,0.49585,0.33201,0.92704,0.99232,0.99565,0.99317,0.90505,0.38602,0.23212,0.86729,0.000441047,0.000441047,0.000441047
28,372.041,0.47261,0.31433,0.92141,0.99315,0.99356,0.99226,0.9126,0.39328,0.22514,0.87039,0.000423049,0.000423049,0.000423049
29,384.996,0.47853,0.31856,0.91857,0.99064,0.99554,0.99373,0.9108,0.36751,0.22145,0.87481,0.00040505,0.00040505,0.00040505
30,397.963,0.47785,0.32279,0.92639,0.99311,0.99575,0.99263,0.9194,0.34376,0.21084,0.87694,0.000387052,0.000387052,0.000387052
31,410.895,0.46703,0.30736,0.91664,0.99151,0.99597,0.99321,0.91331,0.38338,0.2238,0.8707,0.000369054,0.000369054,0.000369054
32,423.854,0.45545,0.30271,0.91829,0.995,0.99138,0.99337,0.90221,0.38018,0.22062,0.87438,0.000351056,0.000351056,0.000351056
33,437.308,0.46175,0.30562,0.92034,0.99214,0.99629,0.99415,0.91702,0.34605,0.20475,0.87038,0.000333058,0.000333058,0.000333058
34,450.471,0.4549,0.30415,0.91525,0.99201,0.99605,0.99264,0.91792,0.3625,0.20995,0.8716,0.000315059,0.000315059,0.000315059
35,463.754,0.44262,0.29385,0.90879,0.99328,0.99634,0.99344,0.91467,0.37948,0.22199,0.8824,0.000297061,0.000297061,0.000297061
36,477.154,0.43996,0.29443,0.91376,0.99512,0.99403,0.99363,0.9197,0.34613,0.19868,0.8689,0.000279063,0.000279063,0.000279063
37,490.675,0.43093,0.28646,0.90588,0.99316,0.99656,0.99347,0.91507,0.37764,0.20046,0.87345,0.000261065,0.000261065,0.000261065
38,503.86,0.4258,0.28336,0.90189,0.99422,0.99543,0.99287,0.9249,0.37226,0.2014,0.8748,0.000243067,0.000243067,0.000243067
39,517.04,0.42908,0.28237,0.90554,0.99328,0.99506,0.99379,0.91896,0.35468,0.20467,0.87238,0.000225068,0.000225068,0.000225068
40,530.277,0.41153,0.27172,0.89936,0.99218,0.99594,0.99359,0.92452,0.33033,0.17981,0.86772,0.00020707,0.00020707,0.00020707
41,547.711,0.36211,0.23025,0.87801,0.9936,0.99614,0.99399,0.91469,0.36251,0.20844,0.87281,0.000189072,0.000189072,0.000189072
42,560.485,0.35405,0.22339,0.86631,0.99293,0.99629,0.9937,0.90663,0.40818,0.20761,0.87946,0.000171074,0.000171074,0.000171074
43,573.244,0.34622,0.21787,0.87298,0.99387,0.99509,0.99433,0.92419,0.38558,0.19781,0.88143,0.000153076,0.000153076,0.000153076
44,586.064,0.33821,0.21487,0.87041,0.99375,0.99439,0.99387,0.92603,0.35339,0.1843,0.87591,0.000135077,0.000135077,0.000135077
45,598.729,0.3354,0.21127,0.86168,0.99202,0.99596,0.99324,0.92796,0.33907,0.18612,0.87455,0.000117079,0.000117079,0.000117079
46,611.583,0.31928,0.20475,0.86596,0.99251,0.99534,0.99436,0.92609,0.34636,0.18252,0.87475,9.9081e-05,9.9081e-05,9.9081e-05
47,624.376,0.31502,0.19977,0.8574,0.99337,0.99586,0.99403,0.92577,0.33183,0.18139,0.86655,8.10828e-05,8.10828e-05,8.10828e-05
48,637.335,0.30996,0.19496,0.85825,0.99307,0.99585,0.99413,0.92855,0.32909,0.17486,0.86971,6.30846e-05,6.30846e-05,6.30846e-05
49,650.118,0.30123,0.19054,0.85213,0.99342,0.99589,0.99391,0.93038,0.32284,0.17968,0.86802,4.50864e-05,4.50864e-05,4.50864e-05
50,663.042,0.30215,0.19185,0.85496,0.99338,0.99612,0.99428,0.93111,0.33198,0.17477,0.87171,2.70882e-05,2.70882e-05,2.70882e-05
