epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4862,1.26295,2.61186,1.28443,0.98877,0.4475,0.87515,0.60288,0.99484,2.16082,0.97628,0.000299393,0.000299393,0.000299393
2,31.287,1.02698,1.00712,1.12711,0.96693,0.97701,0.98494,0.75216,0.83011,0.774,1.00254,0.000590465,0.000590465,0.000590465
3,44.6969,0.89869,0.83073,1.07871,0.99083,0.99146,0.99127,0.78155,0.73068,0.5248,0.94706,0.000869539,0.000869539,0.000869539
4,57.9517,0.86719,0.75574,1.04743,0.9884,0.99243,0.9916,0.80453,0.62822,0.46721,0.93543,0.000855005,0.000855005,0.000855005
5,71.2716,0.79241,0.69341,1.02796,0.98982,0.98923,0.99102,0.82579,0.60689,0.44726,0.92477,0.000837007,0.000837007,0.000837007
6,84.4228,0.73186,0.61794,1.00392,0.97264,0.98598,0.98927,0.83241,0.58046,0.44287,0.90148,0.000819009,0.000819009,0.000819009
7,97.4748,0.73333,0.58376,1.00528,0.99008,0.99339,0.99173,0.84072,0.55148,0.37315,0.9047,0.000801011,0.000801011,0.000801011
8,110.673,0.6731,0.54845,0.98689,0.98847,0.99288,0.99081,0.83648,0.53093,0.41986,0.90159,0.000783013,0.000783013,0.000783013
9,123.886,0.66976,0.51058,0.98088,0.98932,0.98812,0.99092,0.83333,0.58718,0.35623,0.9215,0.000765014,0.000765014,0.000765014
10,137.267,0.6385,0.49182,0.97265,0.98944,0.98956,0.99058,0.86468,0.47056,0.31779,0.8888,0.000747016,0.000747016,0.000747016
11,150.157,0.64596,0.48392,0.97601,0.99102,0.99081,0.9901,0.86735,0.4551,0.30131,0.8919,0.000729018,0.000729018,0.000729018
12,163.294,0.64241,0.46161,0.97154,0.9897,0.99226,0.99091,0.86819,0.48941,0.33253,0.8916,0.00071102,0.00071102,0.00071102
13,176.184,0.60637,0.43777,0.95879,0.99202,0.99105,0.99176,0.87522,0.4701,0.30398,0.88118,0.000693022,0.000693022,0.000693022
14,189.093,0.59632,0.42879,0.95716,0.99191,0.98959,0.99252,0.89382,0.42137,0.29074,0.88038,0.000675023,0.000675023,0.000675023
15,202.116,0.59943,0.41649,0.95422,0.99013,0.9896,0.99232,0.88456,0.44223,0.2663,0.87579,0.000657025,0.000657025,0.000657025
16,215.103,0.59317,0.41286,0.95743,0.98867,0.99222,0.99261,0.89022,0.4131,0.29319,0.87923,0.000639027,0.000639027,0.000639027
17,228.14,0.56864,0.39212,0.94571,0.98695,0.99315,0.99337,0.88557,0.45888,0.26479,0.88346,0.000621029,0.000621029,0.000621029
18,241.191,0.56519,0.39108,0.94894,0.99268,0.98922,0.99304,0.87563,0.4517,0.26603,0.88667,0.000603031,0.000603031,0.000603031
19,254.183,0.55481,0.38447,0.95067,0.99207,0.99138,0.99088,0.89627,0.39444,0.27487,0.88488,0.000585032,0.000585032,0.000585032
20,267.113,0.54201,0.37012,0.94345,0.99308,0.98937,0.99316,0.89831,0.41759,0.26222,0.87997,0.000567034,0.000567034,0.000567034
21,280.103,0.52363,0.36279,0.93659,0.99319,0.99176,0.99255,0.89373,0.45433,0.25843,0.88198,0.000549036,0.000549036,0.000549036
